AUN,LEA Name,LEA Type,County,Race,Year,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126513510,Independence CS,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,*
126513510,Independence CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,25,28,28,22,25,22,13,14,11,0,0,0,0,188
133513315,John B Stetson Charter School,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,0,0,0,*
133513315,John B Stetson Charter School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,38,40,0,0,0,0,135
133513315,John B Stetson Charter School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,96,157,184,184,0,0,0,0,621
133513315,John B Stetson Charter School,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,*
133513315,John B Stetson Charter School,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,0,0,*
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,*,0,0,*,*
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,74,73,69,68,0,91,92,83,85,136,126,95,63,1055
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,*,*,*,0,*,*,*,*,10,*,*,*,72
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,*,*,0,*,0,0,*,0,*,*,*,0,*,15
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,*,0,0,*
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,*
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,88,71,0,0,0,0,341
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,*
126510017,Khepera CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,45,50,53,52,51,51,53,45,49,0,0,0,0,449
126510017,Khepera CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,0,0,0,0,*
126513110,Laboratory CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,58,60,64,53,49,41,43,38,31,0,0,0,0,437
126513110,Laboratory CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,0,0,0,0,20
126513110,Laboratory CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,0,0,0,0,0,0,38
126513110,Laboratory CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0,0,*
126513150,MAST Community Charter School,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,*
126513150,MAST Community Charter School,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,13,12,*,*,*,13,10,10,13,10,10,17,*,136
126513150,MAST Community Charter School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,*,*,12,11,*,*,*,*,*,12,*,*,*,96
